Paper..,Original.sample.size,Original.p.value,Replication.p.value,Original.test.statistic.type,Original.df1,Original.df2,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
24,8,0.01214254,0.0106408,t,NA,4.392191,1,0.01214254,8,1,0.18048159764180152,0.0012738515147696639,0.2230565891848564,TRUE
24,8,2.331278e-4,6.895721e-4,t,NA,6,1,2.331278e-4,8,1,0.007555699996581258,0.0012738515147696639,-0.021358628726527065,FALSE
24,8,6.512861e-4,0.00129412,t,NA,6,1,6.512861e-4,8,1,0.017500958744703577,0.0012738515147696639,-0.01277682382301103,FALSE
24,8,5.563789e-4,0.001362887,t,NA,6,1,5.563789e-4,8,1,0.015394221892924166,0.0012738515147696639,-0.014724591150214572,FALSE
24,8,7.993519e-4,3.991548e-4,t,NA,3.325596,1,7.993519e-4,8,1,0.020671967878114397,0.0012738515147696639,-0.009738089906972478,FALSE
24,8,2.357769e-4,0.143716,t,NA,6,0,2.357769e-4,8,1,0.007626124568797369,0.0012738515147696639,-0.021304261613952942,FALSE
24,8,9.51e-5,0.005671521,t,NA,6,1,9.51e-5,8,1,0.0036098344452625887,0.0012738515147696639,-0.024191354158167495,FALSE
24,8,1.234589e-4,0.06300514,t,NA,6,0,1.234589e-4,8,1,0.004477736944271777,0.0012738515147696639,-0.023609348379307383,FALSE
24,8,1.647319e-4,5.585633e-4,t,NA,3.003484,1,1.647319e-4,8,1,0.005679050403358408,0.0012738515147696639,-0.022762308313899575,FALSE
24,8,0.005636838,0.007422007,t,NA,6,1,0.005636838,8,1,0.09898467220059674,0.0012738515147696639,0.08954096765010733,TRUE
24,8,0.2050917,0.404974,t,NA,6,0,0.2050917,8,1,1.401032742951563,0.0012738515147696639,4.18292548911414,FALSE
24,8,0.007176665,0.03894628,t,NA,6,1,0.007176665,8,1,0.11971732099681674,0.0012738515147696639,0.12114262400648332,TRUE
24,8,3.16e-5,0.006015906,t,NA,3,1,3.16e-5,8,1,0.001448290219327441,0.0012738515147696639,-0.025494555867599713,FALSE
24,6,0.001728131,0.02190393,t,NA,4,1,0.001728131,6,1,0.040968597028202575,0.0011594819617675167,0.011642977205674667,TRUE
24,6,5.738803e-4,0.5690665,t,NA,4,0,5.738803e-4,6,1,0.017504330496107005,0.0011594819617675167,-0.011990078838007127,FALSE
24,6,5.544865e-4,0.01557516,t,NA,4,1,5.544865e-4,6,1,0.017043480578268506,0.0011594819617675167,-0.012387163078285218,FALSE
24,6,0.004070677,0.07951859,t,NA,4,0,0.004070677,6,1,0.0786726102874872,0.0011594819617675167,0.059606145781533115,TRUE
24,6,0.0220685,0.01399455,t,NA,2.835155,1,0.0220685,6,1,0.2759293592214195,0.0011594819617675167,0.4281080315705261,TRUE
24,6,0.005551034,0.002836135,t,NA,2.005994,1,0.005551034,6,1,0.09940815872691636,0.0011594819617675167,0.08991616417325395,TRUE
24,6,0.01632962,0.6034163,t,NA,2.413834,0,0.01632962,6,1,0.22156285327268796,0.0011594819617675167,0.310605592396814,TRUE
24,6,0.01822076,0.3327408,t,NA,4,0,0.01822076,6,1,0.24003920031996545,0.0011594819617675167,0.34932631191333535,TRUE
24,6,0.002565041,0.03318543,t,NA,4,1,0.002565041,6,1,0.055402843160862345,0.0011594819617675167,0.028778544837141328,TRUE
28,12,0.0294672,0.7121999,t,NA,5.786097,0,0.0294672,12,1,0.39451554069272204,0.0012943663462291477,0.5784306976486625,TRUE
28,6,0.3586755,0.3808965,t,NA,4,0,0.3586755,6,1,1.7243108798967024,0.0011594819617675167,7.3200701466427525,FALSE
28,3,0.06328464,0.6321716,t,NA,2,0,0.06328464,3,1,0.5485879731445491,4.902067696145318e-4,1.268323479724146,FALSE
28,3,0.06715723,0.7819519,t,NA,2,0,0.06715723,3,1,0.5667988485906664,4.902067696145318e-4,1.3465421461196923,FALSE
29,3,4.927322e-4,0.003121253,t,NA,2,1,4.927322e-4,3,1,0.030247224803772243,4.902067696145318e-4,5.100870394906641e-5,TRUE
29,3,0.1531738,0.07185459,t,NA,2,0,0.1531738,3,1,0.8773822638106347,4.902067696145318e-4,3.083906905445921,FALSE
29,6,2.91e-5,6.66e-5,t,NA,4,1,2.91e-5,6,1,0.0016855362506794118,0.0011594819617675167,-0.023144348323305062,FALSE
29,10,0.01734749,0.535919,chi-squared,NA,1,0,0.01734749,10,1,0.24756053698215044,0.001302034191286383,0.3294892413317719,TRUE
37,13,0.0050129,0.3441826,z,NA,NA,0,0.0050129,13,1,0.09517493479994961,0.001284006938416793,0.07654350916893785,TRUE
37,13,0.0050129,0.2636006,z,NA,NA,0,0.0050129,13,1,0.09517493479994961,0.001284006938416793,0.07654350916893785,TRUE
39,10,0.00469753,0.103811,t,NA,4.015065,0,0.00469753,10,1,0.08670300361874447,0.001302034191286383,0.06972561897248805,TRUE
41,20,0.5402393,0.0230397,chi-squared,NA,1,1,0.5402393,20,1,3.742281056982003,0.001177655165555458,11.041289529669053,FALSE
42,14,0.001052166,0.6456962,t,NA,12,0,0.001052166,14,1,0.02563351184046854,0.0012712222117087224,-0.004495417731600853,FALSE
42,14,0.002276347,0.5567099,t,NA,7.376149,0,0.002276347,14,1,0.04958899449042058,0.0012712222117087224,0.020626923840736933,TRUE
42,10,0.007936508,0.9372294,z,NA,NA,0,0.007936508,10,1,0.13262987388554517,0.001302034191286383,0.1362371856511201,TRUE
42,10,0.007936508,1,z,NA,NA,0,0.007936508,10,1,0.13262987388554517,0.001302034191286383,0.1362371856511201,TRUE
44,20,0.03981128,0.8474241,z,NA,NA,0,0.03981128,20,1,0.6008314549349335,0.001177655165555458,0.7913103101756025,TRUE
44,20,0.01042671,0.9437466,z,NA,NA,0,0.01042671,20,1,0.1982213222761627,0.001177655165555458,0.18944306886135592,TRUE
44,20,0.0167846,0.6519858,z,NA,NA,0,0.0167846,20,1,0.2956603707433266,0.001177655165555458,0.31966807180948265,TRUE
44,20,0.005007683,0.5287432,z,NA,NA,0,0.005007683,20,1,0.10608143122747313,0.001177655165555458,0.07844825658071276,TRUE
